Team____,Team____,Pl______,W____,D____,L____,PF___,PA___,Diff__,TF___,TA___,Pts_
France  ,Fra     ,5       ,3    ,0    ,2    ,140  ,92   ,48    ,12   ,8    ,6   
Ireland ,Ire     ,5       ,3    ,0    ,2    ,168  ,133  ,35    ,17   ,13   ,6   
Wales   ,Wal     ,5       ,3    ,0    ,2    ,111  ,135  ,-24   ,8    ,12   ,6   
Scotland,Sco     ,5       ,1    ,0    ,4    ,95   ,145  ,-50   ,9    ,12   ,2   
Italy   ,Ita     ,5       ,1    ,0    ,4    ,106  ,228  ,-122  ,9    ,25   ,2   
        
1999    
Scotland,Sco     ,4       ,3    ,0    ,1    ,120  ,79   ,41    ,16   ,8    ,6   
England ,Eng     ,4       ,3    ,0    ,1    ,103  ,78   ,25    ,8    ,6    ,6   
Wales   ,Wal     ,4       ,2    ,0    ,2    ,109  ,126  ,-17   ,9    ,13   ,4   
Ireland ,Ire     ,4       ,1    ,0    ,3    ,66   ,90   ,-24   ,2    ,9    ,2   
France  ,Fra     ,4       ,1    ,0    ,3    ,75   ,100  ,-25   ,9    ,8    ,2   
        
1998    
France  ,Fra     ,4       ,4    ,0    ,0    ,144  ,49   ,95    ,18   ,3    ,8   
England ,Eng     ,4       ,3    ,0    ,1    ,146  ,87   ,59    ,16   ,10   ,6   
Wales   ,Wal     ,4       ,2    ,0    ,2    ,75   ,145  ,-70   ,8    ,19   ,4   
Scotland,Sco     ,4       ,1    ,0    ,3    ,66   ,120  ,-54   ,6    ,11   ,2   
Ireland ,Ire     ,4       ,0    ,0    ,4    ,70   ,100  ,-30   ,5    ,10   ,0   
        
1997    
France  ,Fra     ,4       ,4    ,0    ,0    ,129  ,77   ,52    ,14   ,6    ,8   
England ,Eng     ,4       ,3    ,0    ,1    ,141  ,55   ,86    ,14   ,4    ,6   
Wales   ,Wal     ,4       ,1    ,0    ,3    ,94   ,106  ,-12   ,11   ,12   ,2   
Scotland,Sco     ,4       ,1    ,0    ,3    ,90   ,132  ,-42   ,9    ,12   ,2   
Ireland ,Ire     ,4       ,1    ,0    ,3    ,57   ,141  ,-84   ,4    ,18   ,2   
        
1996    
England ,Eng     ,4       ,3    ,0    ,1    ,79   ,54   ,25    ,3    ,2    ,6   
Scotland,Sco     ,4       ,3    ,0    ,1    ,60   ,56   ,4     ,5    ,3    ,6   
France  ,Fra     ,4       ,2    ,0    ,2    ,89   ,57   ,32    ,10   ,3    ,4   
Wales   ,Wal     ,4       ,1    ,0    ,3    ,62   ,82   ,-20   ,6    ,9    ,2   
Ireland ,Ire     ,4       ,1    ,0    ,3    ,65   ,106  ,-41   ,5    ,12   ,2   
        
1995    
England ,Eng     ,4       ,4    ,0    ,0    ,98   ,39   ,59    ,6    ,2    ,8   
Scotland,Sco     ,4       ,3    ,0    ,1    ,87   ,71   ,16    ,3    ,5    ,6   
France  ,Fra     ,4       ,2    ,0    ,2    ,77   ,70   ,7     ,8    ,6    ,4   
Ireland ,Ire     ,4       ,1    ,0    ,3    ,44   ,83   ,-39   ,4    ,8    ,2   
Wales   ,Wal     ,4       ,0    ,0    ,4    ,43   ,86   ,-43   ,0    ,0    ,0   
        
1994    
Wales   ,Wal     ,4       ,3    ,0    ,1    ,78   ,51   ,27    ,4    ,4    ,6   
England ,Eng     ,4       ,3    ,0    ,1    ,60   ,49   ,11    ,2    ,4    ,6   
France  ,Fra     ,4       ,2    ,0    ,2    ,84   ,69   ,15    ,9    ,2    ,4   
Ireland ,Ire     ,4       ,1    ,1    ,2    ,49   ,70   ,-21   ,1    ,5    ,3   
Scotland,Sco     ,4       ,0    ,1    ,3    ,38   ,70   ,-32   ,1    ,2    ,1   
        
1993    
France  ,Fra     ,4       ,3    ,0    ,1    ,73   ,35   ,38    ,5    ,1    ,6   
Scotland,Sco     ,4       ,2    ,0    ,2    ,50   ,40   ,10    ,3    ,4    ,4   
England ,Eng     ,4       ,2    ,0    ,2    ,54   ,54   ,0     ,4    ,4    ,4   
Ireland ,Ire     ,4       ,2    ,0    ,2    ,45   ,53   ,-8    ,2    ,5    ,4   
Wales   ,Wal     ,4       ,1    ,0    ,3    ,34   ,74   ,-40   ,2    ,2    ,2   
        
1992    
England ,Eng     ,4       ,4    ,0    ,0    ,118  ,29   ,89    ,11   ,4    ,8   
France  ,Fra     ,4       ,2    ,0    ,2    ,75   ,62   ,13    ,9    ,4    ,4   
Scotland,Sco     ,4       ,2    ,0    ,2    ,47   ,56   ,-9    ,4    ,3    ,4   
Wales   ,Wal     ,4       ,2    ,0    ,2    ,40   ,63   ,-23   ,0    ,0    ,4   
Ireland ,Ire     ,4       ,0    ,0    ,4    ,46   ,116  ,-70   ,2    ,15   ,0   
        
        
